same_employer,job_format,hours_worked_per_week,daily_work_type,job_match_interests,consider_career_likelihood,supervisor_support,supervisor_properly_train,supervisor_understand_role,supervisor_understand_expectations,supervisor_give_feedback,supervisor_achieve_goals,supervisor_comfortable,experience_rating,job_reference_person,mentor_person,recommend_job,new_job_prepared,interested_in_pursuing,post_high_school_plans,prepared_resume,prepared_cover_letter,asked_adult_reference,searched_jobs_online,discussed_wanted_jobs,developed_interview_answers,practiced_interviewing,usually_on_time_school_work,rarely_absent_school,meet_deadlines,keep_track_assignments,work_independently,ask_for_help,work_in_teams,rarely_get_upset_or_lose_temper,rarely_get_upset_when_corrected,rarely_get_into_arguments_friends,rarely_get_into_arguments_parents_teachers,rarely_difficulty_resolving_arguments,often_eye_contact_during_conversation,skills_to_improve,typically_manage_money,household_items_paid_for,parent_role_model,sibling_role_model,family_role_model,teacher_role_model,coach_role_model,clergy_role_model,supervisor_role_model,contribute_family,contribute_friends,contribute_coworkers,contribute_neighborhood,contribute_school,contribute_worship,feeling_nervous,cannot_stop_worrying,feeling_down,little_interest_in_things,gender,race,second_language_spoken_at_home,adult_live_with
No,I had an in-person job or internship,,Individual / Group Project Work,Neither well nor poorly,Not sure / maybe,N/A - I did not have a job supervisor,,,,,,,Somewhat Good,Yes,No,Yes,Yes,"Healthcare Practitioner: (e.g.,  dentist, doctor, nurse, EMT, pharmacist, veterinarian)",Enroll at a 4 year college/university,Yes,No,No,No,Yes,No,No,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Job readiness skills (i.e. writing a resume and interviewing),"I have a somewhat good idea about how much I spend on things, but I don't keep track of each item.",Clothes/shoes,Most of the time,Most of the time,Most of the time,Most of the time,This does not apply to me,This does not apply to me,This does not apply to me,Most of the time,Most of the time,Sometimes,Sometimes,Sometimes,Not applicable (N/A),Not at all,Not at all,Not at all,Not at all,Female,Black or African American (Not Hispanic or Latino),"Yes, Cape Verdean/French/Haitian Creole",Both of my parents
No,I had an in-person job or internship,26+,Day Care / Day Camp,Somewhat well,Probably not,Very supportive,Yes,Yes,Yes,Yes,Yes,,Somewhat Good,Yes,Yes,Yes,Yes,"Business and Financial: (e.g.,  marketer, accountant, loan officer, or investment banker),Arts, Design, Entertainment: (e.g.,  artist, dancer, musician, graphic designer, fashion designer),Food Preparation and Serving: (e.g.,  chef, cook, bartender, waiter or waitress),Office and Administrative Support: (e.g.,  bank teller, postal worker, secretary)",Enroll at a 4 year college/university,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Strongly Agree,Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Neutral,Disagree,Disagree,Agree,Agree,Disagree,Agree,"Communication skills (i.e. public speaking, writing emails)",I have a budget and keep close track of how much I spend on things like clothing and entertainment.,"Cell phone,Groceries,Eating out",Most of the time,Most of the time,Sometimes,Most of the time,Most of the time,This does not apply to me,Most of the time,Sometimes,Sometimes,Most of the time,Not applicable (N/A),Not applicable (N/A),Not applicable (N/A),Not at all,Not at all,Not at all,Not at all,Female,Hispanic or Latino,"Yes, Spanish",Only my mother
No,I had an in-person job or internship,21 to 25,Health Care / Elder Care,Very well,Likely,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Very Good,Yes,No,Yes,Yes,"Life, Physical, and Social Sciences: (e.g.,  environmental scientist, biologist, sociologist),Arts, Design, Entertainment: (e.g.,  artist, dancer, musician, graphic designer, fashion designer),Healthcare Support: (e.g.,  home health aid, therapist, medical assistant),Office and Administrative Support: (e.g.,  bank teller, postal worker, secretary)","Enroll at a 4 year college/university,Enroll at a technical/vocational school (e.g., cosmetology, nursing school),Work full-time",Yes,Yes,Yes,Yes,Yes,Yes,No,Strongly Agree,Neutral,Agree,Agree,Agree,Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Disagree,Neutral,Agree,"Communication skills (i.e. public speaking, writing emails),Money management skills (i.e. paying bills, using savings account)",I have a budget and keep close track of how much I spend on things like clothing and entertainment.,"Groceries,T/bus pass,Rent/mortgage,Utilities (gas/electric),Clothes/shoes,Eating out,Entertainment",Never,Sometimes,This does not apply to me,Never,This does not apply to me,This does not apply to me,Sometimes,Sometimes,Most of the time,Never,Never,Sometimes,Not applicable (N/A),Several days,Several days,Several days,Several days,Female,Hispanic or Latino,"Yes, Spanish",Only my mother
Yes,I had an in-person job or internship,10 or less,Day Care / Day Camp,Very well,Very likely,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Very Good,Yes,Yes,Yes,Yes,"Arts, Design, Entertainment: (e.g.,  artist, dancer, musician, graphic designer, fashion designer),Healthcare Practitioner: (e.g.,  dentist, doctor, nurse, EMT, pharmacist, veterinarian),Healthcare Support: (e.g.,  home health aid, therapist, medical assistant)",Enroll at a 4 year college/university,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,"Academic skills (i.e. reading, writing, math),Communication skills (i.e. public speaking, writing emails),Money management skills (i.e. paying bills, using savings account)",I have a budget and keep close track of how much I spend on things like clothing and entertainment.,I don't pay for any household bills,Most of the time,Sometimes,Sometimes,Most of the time,Most of the time,This does not apply to me,Most of the time,Most of the time,Most of the time,Most of the time,Not applicable (N/A),Sometimes,Most of the time,Several days,Not at all,Not at all,Not at all,Male,Black or African American (Not Hispanic or Latino),No other language,Only my mother
Yes,I had an in-person job or internship,26+,Health Care / Elder Care,Very well,Very likely,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Very Good,Yes,Yes,Yes,Yes,"Arts, Design, Entertainment: (e.g.,  artist, dancer, musician, graphic designer, fashion designer),Healthcare Practitioner: (e.g.,  dentist, doctor, nurse, EMT, pharmacist, veterinarian),Healthcare Support: (e.g.,  home health aid, therapist, medical assistant)","Enroll at a 4 year college/university,Work part-time",Yes,No,Yes,Yes,Yes,Yes,Yes,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,"Communication skills (i.e. public speaking, writing emails),Organizational skills (i.e. time management, keeping a calendar),Job readiness skills (i.e. writing a resume and interviewing)","I have a somewhat good idea about how much I spend on things, but I don't keep track of each item.","T/bus pass,Clothes/shoes,Eating out,Entertainment",Most of the time,Most of the time,Sometimes,Most of the time,This does not apply to me,This does not apply to me,Most of the time,Most of the time,Sometimes,Most of the time,Sometimes,Sometimes,Not applicable (N/A),Not at all,Not at all,Not at all,Not at all,Female,Black or African American (Not Hispanic or Latino),"Yes, Cape Verdean/French/Haitian Creole",Both of my parents
No,I had an in-person job or internship,11 to 15,Food Services,Neither well nor poorly,Probably not,Somewhat supportive,No,Yes,Yes,No,No,No,Neither Good Nor Bad,Yes,No,No,Yes,"Healthcare Practitioner: (e.g.,  dentist, doctor, nurse, EMT, pharmacist, veterinarian),Healthcare Support: (e.g.,  home health aid, therapist, medical assistant)",Enroll at a 4 year college/university,Yes,No,Yes,Yes,Yes,Yes,Yes,Strongly Agree,Agree,Neutral,Neutral,Agree,Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,"Communication skills (i.e. public speaking, writing emails),Money management skills (i.e. paying bills, using savings account)","I don't have a good idea how much I spend on things, but I try to keep track of my overall spending.","Cell phone,Groceries,Clothes/shoes,Eating out",Most of the time,Sometimes,Never,Most of the time,Sometimes,Never,Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Several days,Several days,Several days,Not at all,Female,Black or African American (Not Hispanic or Latino),"Yes, Cape Verdean/French/Haitian Creole",Both of my parents
No,I had an in-person job or internship,26+,Peer Leader,Somewhat well,Likely,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Very Good,Yes,Yes,Yes,Yes,"Business and Financial: (e.g.,  marketer, accountant, loan officer, or investment banker),Computer and Mathematical: (e.g.,  web designer, software designer, computer programmer)",Enroll at a 4 year college/university,Yes,No,Yes,Yes,Yes,Yes,Yes,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Academic skills (i.e. reading, writing, math),Money management skills (i.e. paying bills, using savings account)",I have a budget and keep close track of how much I spend on things like clothing and entertainment.,"Groceries,Utilities (gas/electric),Clothes/shoes,Eating out,Entertainment",Sometimes,Most of the time,Most of the time,Sometimes,Sometimes,Most of the time,Most of the time,Most of the time,Sometimes,Sometimes,Sometimes,Most of the time,Most of the time,Several days,Not at all,Several days,Not at all,Male,Asian (Not Hispanic or Latino),"Yes, Vietnamese",Both of my parents
No,I had an in-person job or internship,26+,Office Work / Administrative Work,Very well,Likely,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Very Good,Yes,Yes,Yes,Yes,"Healthcare Practitioner: (e.g.,  dentist, doctor, nurse, EMT, pharmacist, veterinarian)","Enroll at a 4 year college/university,Enroll at a 2 year community college",No,No,Yes,No,Yes,Yes,Yes,Strongly Agree,Agree,Agree,Neutral,Strongly Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Academic skills (i.e. reading, writing, math),Communication skills (i.e. public speaking, writing emails),Computer skills (i.e. using Word or Excel, programming)","I have a somewhat good idea about how much I spend on things, but I don't keep track of each item.",I don't pay for any household bills,Most of the time,Sometimes,Most of the time,This does not apply to me,This does not apply to me,This does not apply to me,Most of the time,Most of the time,Not applicable (N/A),Not applicable (N/A),Not applicable (N/A),Not applicable (N/A),Not applicable (N/A),Not at all,Not at all,Not at all,Not at all,Female,Hispanic or Latino,"Yes, Spanish",Prefer not to say
No,I had an in-person job or internship,16 to 20,Library / Research / Writing,Somewhat well,Not sure / maybe,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat Good,Yes,Yes,Yes,Yes,"Life, Physical, and Social Sciences: (e.g.,  environmental scientist, biologist, sociologist),Arts, Design, Entertainment: (e.g.,  artist, dancer, musician, graphic designer, fashion designer),Sports: (e.g., coach, athlete),I don’t know","Enroll at a 4 year college/university,Enroll at a 2 year community college,Work part-time,Undecided",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Neutral,Neutral,Strongly Agree,Agree,Agree,Disagree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Neutral,"Academic skills (i.e. reading, writing, math),Communication skills (i.e. public speaking, writing emails),Organizational skills (i.e. time management, keeping a calendar),Conflict resolution (i.e. finding nonviolent ways to solve disagreements with peers)",Prefer not to say,"Rent/mortgage,Clothes/shoes,Eating out,Entertainment,I don't pay for any household bills",Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,This does not apply to me,Sometimes,Sometimes,Most of the time,Sometimes,Never,Sometimes,Not applicable (N/A),More than half the days,More than half the days,More than half the days,Several days,Male,Two or More Races,No other language,Only my mother
No,I had an in-person job or internship,10 or less,Other,Very well,Probably not,Often supportive,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat Good,Yes,No,Yes,Yes,"Healthcare Practitioner: (e.g.,  dentist, doctor, nurse, EMT, pharmacist, veterinarian),Healthcare Support: (e.g.,  home health aid, therapist, medical assistant)","Enroll at a 4 year college/university,Work part-time",Yes,Yes,Yes,Yes,Yes,Yes,No,Agree,Neutral,Neutral,Neutral,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Neutral,"Academic skills (i.e. reading, writing, math),Communication skills (i.e. public speaking, writing emails),Organizational skills (i.e. time management, keeping a calendar),Computer skills (i.e. using Word or Excel, programming)",Prefer not to say,I don't pay for any household bills,Sometimes,Sometimes,Most of the time,Never,Sometimes,Never,Never,Sometimes,Sometimes,Sometimes,Never,Never,Never,Not at all,Not at all,Not at all,Not at all,Female,Black or African American (Not Hispanic or Latino),No other language,Other (please write in)
No,I had an in-person job or internship,26+,Office Work / Administrative Work,Very well,Likely,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Very Good,Yes,Yes,Yes,Yes,"Management: (e.g., CEO, director, manager),Business and Financial: (e.g.,  marketer, accountant, loan officer, or investment banker)","Enroll at a 4 year college/university,Enroll at a 2 year community college",Yes,No,Yes,Yes,No,Yes,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,"Communication skills (i.e. public speaking, writing emails),Computer skills (i.e. using Word or Excel, programming)",I have a budget and keep close track of how much I spend on things like clothing and entertainment.,"Eating out,Entertainment",Most of the time,Most of the time,Most of the time,Sometimes,Sometimes,This does not apply to me,Most of the time,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,Most of the time,Not at all,Not at all,Not at all,Not at all,Male,Black or African American (Not Hispanic or Latino),No other language,Only my mother
No,I had an in-person job or internship,26+,Other,Somewhat well,Not sure / maybe,Mostly supportive,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat Good,Yes,Yes,Yes,Yes,"Legal: (e.g.,  lawyer, judge, paralegal)","Enroll at a 4 year college/university,Work part-time",Yes,No,No,Yes,Yes,Yes,Yes,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Strongly Agree,"Academic skills (i.e. reading, writing, math),Communication skills (i.e. public speaking, writing emails),Organizational skills (i.e. time management, keeping a calendar),Money management skills (i.e. paying bills, using savings account),Job readiness skills (i.e. writing a resume and interviewing),Conflict resolution (i.e. finding nonviolent ways to solve disagreements with peers)","I have a somewhat good idea about how much I spend on things, but I don't keep track of each item.","T/bus pass,Clothes/shoes,Eating out,Entertainment,Other household bills",Most of the time,Sometimes,Most of the time,Most of the time,Most of the time,This does not apply to me,Sometimes,Most of the time,Most of the time,Never,Most of the time,Sometimes,Sometimes,Not at all,Not at all,Not at all,Not at all,Female,Prefer not to say,Prefer not to say,Both of my parents
No,I had an in-person job or internship,26+,Individual / Group Project Work,Very well,Very likely,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Very Good,Yes,Yes,Yes,Yes,"Healthcare Practitioner: (e.g.,  dentist, doctor, nurse, EMT, pharmacist, veterinarian)",Enroll at a 4 year college/university,Yes,No,Yes,Yes,No,Yes,No,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,"Academic skills (i.e. reading, writing, math),Communication skills (i.e. public speaking, writing emails),Money management skills (i.e. paying bills, using savings account),Job readiness skills (i.e. writing a resume and interviewing)","I don't have a good idea how much I spend on things, but I try to keep track of my overall spending.","Cell phone,Groceries,Rent/mortgage,Insurance,Medical,Utilities (gas/electric),Clothes/shoes,Eating out,Entertainment,Vacation/trip,Other household bills,I don't pay for any household bills",Sometimes,Sometimes,Never,Most of the time,Never,Never,Most of the time,Sometimes,Sometimes,Sometimes,Never,Sometimes,Most of the time,More than half the days,Several days,More than half the days,More than half the days,Male,Hispanic or Latino,"Yes, Spanish",Both of my parents
Yes,I had an in-person job or internship,26+,Day Care / Day Camp,Somewhat well,Likely,Mostly supportive,Yes,Yes,Yes,Yes,Yes,Yes,Very Good,Yes,Yes,Yes,Yes,"Healthcare Practitioner: (e.g.,  dentist, doctor, nurse, EMT, pharmacist, veterinarian)",Enroll at a 4 year college/university,Yes,No,Yes,No,Yes,Yes,Yes,Agree,Strongly Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Strongly Agree,Neutral,Agree,Agree,Agree,"Academic skills (i.e. reading, writing, math),Organizational skills (i.e. time management, keeping a calendar),Money management skills (i.e. paying bills, using savings account),Job readiness skills (i.e. writing a resume and interviewing)",I have a budget and keep close track of how much I spend on things like clothing and entertainment.,"Groceries,Clothes/shoes,Eating out,Entertainment",Most of the time,Sometimes,Most of the time,Most of the time,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Sometimes,Sometimes,Most of the time,Several days,Several days,Not at all,Several days,Male,Black or African American (Not Hispanic or Latino),Prefer not to say,Both of my parents
No,I had an in-person job or internship,26+,Health Care / Elder Care,Very poorly,Not likely at all,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat Good,Yes,Yes,No,Yes,I don’t know,Enroll at a 4 year college/university,Yes,No,No,Yes,Yes,Yes,Yes,Strongly Agree,Neutral,Agree,Agree,Strongly Agree,Disagree,Disagree,Disagree,Agree,,Agree,Agree,Strongly Agree,"Academic skills (i.e. reading, writing, math),Communication skills (i.e. public speaking, writing emails),Organizational skills (i.e. time management, keeping a calendar),Job readiness skills (i.e. writing a resume and interviewing)",I have a budget and keep close track of how much I spend on things like clothing and entertainment.,"Cell phone,T/bus pass,Car,Rent/mortgage,Insurance",Most of the time,Sometimes,Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Never,Sometimes,Sometimes,Several days,Several days,Not at all,Not at all,Male,Asian (Not Hispanic or Latino),"Yes, other (please write in)",Both of my parents
,,,,,,,,,,,,,,,,,,I don’t know,"Work full-time,Other (please write in):",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Agree,Neutral,Strongly Agree,Neutral,Strongly Agree,Agree,Neutral,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,"Money management skills (i.e. paying bills, using savings account),Job readiness skills (i.e. writing a resume and interviewing)",I have a budget and keep close track of how much I spend on things like clothing and entertainment.,"Cell phone,Clothes/shoes,Eating out,Entertainment",Most of the time,Most of the time,Sometimes,Never,Most of the time,This does not apply to me,This does not apply to me,Most of the time,Sometimes,Not applicable (N/A),Sometimes,Sometimes,Not applicable (N/A),Nearly every day,More than half the days,Not at all,Several days,Female,Prefer not to say,Prefer not to say,Only my father
,,,,,,,,,,,,,,,,,,"Food Preparation and Serving: (e.g.,  chef, cook, bartender, waiter or waitress),Sales: (e.g.,  advertising, insurance, travel agent, real estate broker)",,,,,,,,,,,Neutral,Neutral,Neutral,Neutral,Neutral,,Agree,,Neutral,Neutral,Neutral,"Money management skills (i.e. paying bills, using savings account)","I have a somewhat good idea about how much I spend on things, but I don't keep track of each item.","Rent/mortgage,Insurance,Medical,Utilities (gas/electric),Other household bills",Never,,,,,,,,,Not applicable (N/A),Not applicable (N/A),Not applicable (N/A),Never,,Nearly every day,More than half the days,Nearly every day,Male,Native Hawaiian or Other Pacific Islander (Not Hispanic or Latino,"Yes, Vietnamese",Live on my own
No,I had an in-person job or internship,26+,Day Care / Day Camp,Very well,Probably not,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Very Good,Yes,Yes,Yes,Yes,"Management: (e.g., CEO, director, manager),Business and Financial: (e.g.,  marketer, accountant, loan officer, or investment banker),Education: (e.g.,  teacher, professor, or daycare provider),Office and Administrative Support: (e.g.,  bank teller, postal worker, secretary)","Enroll at a 4 year college/university,Work part-time",Yes,Yes,Yes,No,Yes,Yes,Yes,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Money management skills (i.e. paying bills, using savings account)","I have a somewhat good idea about how much I spend on things, but I don't keep track of each item.",I don't pay for any household bills,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,Sometimes,Most of the time,Most of the time,Not at all,Not at all,Not at all,Not at all,Female,Black or African American (Not Hispanic or Latino),"Yes, other (please write in)",Both of my parents
No,I had a mix of in-person and virtual/remote work,26+,Office Work / Administrative Work,Very well,,Very supportive,Yes,Yes,,Yes,Yes,Yes,Very Good,Yes,Yes,Yes,Yes,"Computer and Mathematical: (e.g.,  web designer, software designer, computer programmer),Education: (e.g.,  teacher, professor, or daycare provider)","Enroll at a 4 year college/university,Enroll at a 2 year community college,Enroll at a technical/vocational school (e.g., cosmetology, nursing school),Join the military (e.g., army, navy, air force, marines, coast guard),Work part-time,Take care of children and/or family members",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,"Academic skills (i.e. reading, writing, math),Communication skills (i.e. public speaking, writing emails),Organizational skills (i.e. time management, keeping a calendar),Money management skills (i.e. paying bills, using savings account),Job readiness skills (i.e. writing a resume and interviewing)",I have a budget and keep close track of how much I spend on things like clothing and entertainment.,Cell phone,Sometimes,Never,Most of the time,Most of the time,Sometimes,Sometimes,,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,More than half the days,Several days,Several days,Several days,Female,Black or African American (Not Hispanic or Latino),"Yes, Cape Verdean/French/Haitian Creole",Only my mother
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,I had an in-person job or internship,26+,Technology / Computer Work,Somewhat well,Likely,Very supportive,Yes,Yes,Yes,Yes,No,No,Very Good,No,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,I had an in-person job or internship,21 to 25,Technology / Computer Work,Somewhat well,Likely,Very supportive,Yes,Yes,Yes,Yes,No,No,Very Good,Yes,Yes,Yes,Yes,"Business and Financial: (e.g.,  marketer, accountant, loan officer, or investment banker),Sales: (e.g.,  advertising, insurance, travel agent, real estate broker),Office and Administrative Support: (e.g.,  bank teller, postal worker, secretary)","Enroll at a 4 year college/university,Work part-time",No,No,No,Yes,Yes,Yes,No,Neutral,Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Strongly Agree,"Organizational skills (i.e. time management, keeping a calendar),Money management skills (i.e. paying bills, using savings account),Job readiness skills (i.e. writing a resume and interviewing)",I have a budget and keep close track of how much I spend on things like clothing and entertainment.,Utilities (gas/electric),Most of the time,This does not apply to me,Sometimes,Sometimes,Sometimes,This does not apply to me,Sometimes,Most of the time,Not applicable (N/A),Most of the time,Not applicable (N/A),Sometimes,Not applicable (N/A),,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,I had a mix of in-person and virtual/remote work,21 to 25,Office Work / Administrative Work,Very well,Likely,Very supportive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,I had an in-person job or internship,26+,Office Work / Administrative Work,Somewhat well,Likely,Mostly supportive,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat Good,Yes,No,Yes,Yes,"Management: (e.g., CEO, director, manager),Business and Financial: (e.g.,  marketer, accountant, loan officer, or investment banker),Office and Administrative Support: (e.g.,  bank teller, postal worker, secretary),Installation and Repair: (e.g.,  aircraft mechanic, automotive, home repair),Sports: (e.g., coach, athlete)","Enroll at a 4 year college/university,Work part-time",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,"Communication skills (i.e. public speaking, writing emails)",I have a budget and keep close track of how much I spend on things like clothing and entertainment.,"Groceries,Insurance,Clothes/shoes,Eating out,Entertainment",Most of the time,Most of the time,Sometimes,This does not apply to me,This does not apply to me,This does not apply to me,Sometimes,Most of the time,Most of the time,Sometimes,Sometimes,Sometimes,Not applicable (N/A),Several days,Several days,Not at all,Not at all,Male,Hispanic or Latino,"Yes, Spanish",Both of my parents
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I had a virtual (remote) job or internship,26+,Individual / Group Project Work,Very well,Very likely,Very supportive,Yes,Yes,Yes,Yes,Yes,No,Very Good,Yes,,Yes,Yes,"Healthcare Practitioner: (e.g.,  dentist, doctor, nurse, EMT, pharmacist, veterinarian),Healthcare Support: (e.g.,  home health aid, therapist, medical assistant)","Enroll at a 4 year college/university,Enroll at a 2 year community college",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,I had an in-person job or internship,26+,Office Work / Administrative Work,Somewhat well,Probably not,Mostly supportive,Yes,Yes,Yes,Yes,,,Somewhat Good,Yes,No,No,Yes,"Management: (e.g., CEO, director, manager),Legal: (e.g.,  lawyer, judge, paralegal),Protective Services: (e.g.,  firefighter, police officer, security guard),Sales: (e.g.,  advertising, insurance, travel agent, real estate broker),Production: (e.g.,  machinist, welder, woodworker, factory worker/ operator),Sports: (e.g., coach, athlete)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,I had an in-person job or internship,26+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
